"S/N","Designator","Quantity","Manufacturer Part Number","Procurement Type","Customer Note"
"1","C1,C2,C3,C4","4","CC0603JRNPO9BN181","",""
"2","C5,C6,C9,C10,C11,C12","6","CC0603KRX7R9BB104","",""
"3","C7,C8","2","EEE-FK1V100UR","",""
"4","D1,D4,D5","3","MBR0530T1G","",""
"5","D2,D3","2","150060BS75000","",""
"6","J10","1","WQP419GR","",""
"7","J17","1","61201021721","",""
"8","J1,J2,J3,J4,J5,J6,J7,J8,J9,J11,J12","11","WQP518MA","",""
"9","J13,J14,J15,J16","4","M20-7870546","",""
"10","R19","1","RC1206FR-076K8L","",""
"11","R1,R2,R17,R18","4","RC0603FR-07220RL","",""
"12","R3,R4","2","RC1210FR-071KL","",""
"13","R5,R7,R11,R13","4","RC0603FR-0720KL","",""
"14","R6,R8,R9,R10,R12,R14,R15,R16","8","RC0603FR-0710KL","",""
"15","RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8","8","RD901F-40-15F-B10K-00DL1","",""
"16","SW1","1","TL1105SPF250Q","",""
"17","SW2,SW3","2","2MS3T1B1M2QES","",""
"18","U1","1","LTV-355T","",""
"19","U2","1","TL074CPWR","",""
"20","U3","1","LM4040CIM3-5.0/NOPB","",""
"21","U4","1","CD4052BPWR","",""
