Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C9",0603,8,47pF,C105622
"C10, C11",CP_Elec_5x5.3,2,10uF,C7200666
"C12, C13, C14, C15",0603,4,100nF,C14663
C8,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,2.2uF,C3780718
"D1, D2",D_SOD-123,2,MBR0530,C82046
J6,thonkiconn,1,thonkiconn,WQP518MA
"R1, R18, R19, R2, R20, R23, R3, R4, R5, R6",0603,10,100k,C14675
"R10, R11, R12, R21, R22",0603,5,24k, C137760
"R13, R14, R15, R7, R8, R9",0603,6,10k,C98220
"R16, R17, R24",1210,3,1k 0.5W,C83144
"U1, U2",TSSOP-14_4.4x5mm_P0.65mm,2,TL074,C96507
