Designator,Mid X,Mid Y,Rotation,Layer
C1,128.27,-63.881,0,bottom
C10,132.2655,-112.985,180,bottom
C11,133.2815,-127.463,0,bottom
C12,135.89,-60.325,0,bottom
C13,135.89,-70.993,0,bottom
C14,136.398,-96.393,180,bottom
C15,135.89,-85.725,180,bottom
C2,143.51,-69.215,180,bottom
C3,127.508,-92.837,0,bottom
C4,128.257,-70.993,0,bottom
C5,143.51,-60.325,180,bottom
C6,127.508,-85.725,0,bottom
C7,143.256,-85.725,180,bottom
C8,154.5,-90,270,bottom
C9,143.256,-98.171,0,bottom
D1,124.46,-115.189,0,bottom
D2,126.238,-128.397,180,bottom
J6,151.5365,-147.91,90,top
R1,128.27,-60.325,180,bottom
R10,143.51,-63.881,0,bottom
R11,128.27,-67.437,180,bottom
R12,127.508,-89.281,180,bottom
R13,128.27,-69.215,0,bottom
R14,143.51,-62.103,180,bottom
R15,127.508,-87.503,0,bottom
R16,125.222,-142.875,270,bottom
R17,130.81,-142.875,270,bottom
R18,143.256,-89.281,0,bottom
R19,143.256,-91.059,0,bottom
R2,143.51,-70.993,0,bottom
R20,143.256,-92.837,0,bottom
R21,143.256,-87.503,180,bottom
R22,143.256,-94.615,0,bottom
R23,143.256,-96.393,0,bottom
R24,146.558,-142.875,270,bottom
R3,127.508,-96.393,180,bottom
R4,128.27,-62.103,0,bottom
R5,143.51,-67.437,180,bottom
R6,127.508,-94.615,0,bottom
R7,128.27,-65.659,180,bottom
R8,143.51,-65.659,0,bottom
R9,127.508,-91.059,180,bottom
U1,135.89,-65.659,90,bottom
U2,135.89,-91.567,270,bottom
