Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47pF,C_0603_1608Metric,128.27,-63.881,180,bottom
C2,47pF,C_0603_1608Metric,143.51,-69.215,0,bottom
C3,47pF,C_0603_1608Metric,127.508,-92.837,180,bottom
C4,47pF,C_0603_1608Metric,128.257,-70.993,180,bottom
C5,47pF,C_0603_1608Metric,143.51,-60.325,0,bottom
C6,47pF,C_0603_1608Metric,127.508,-85.725,180,bottom
C7,47pF,C_0603_1608Metric,143.256,-85.725,0,bottom
C8,10uF,CP_Elec_5x5.3,154.686,-90.551,-90,bottom
C9,47pF,C_0603_1608Metric,143.256,-98.171,180,bottom
C10,10uF,CP_Elec_5x5.3,132.2655,-112.985,180,bottom
C11,10uF,CP_Elec_5x5.3,133.2815,-127.463,0,bottom
C12,100nF,C_0603_1608Metric,135.89,-60.325,180,bottom
C13,100nF,C_0603_1608Metric,135.89,-70.993,180,bottom
C14,100nF,C_0603_1608Metric,136.398,-96.393,0,bottom
C15,100nF,C_0603_1608Metric,135.89,-85.725,0,bottom
D1,MBR0530,D_SOD-123,124.46,-115.189,0,bottom
D2,MBR0530,D_SOD-123,126.238,-128.397,180,bottom
R1,100k,R_0603_1608Metric,128.27,-60.325,0,bottom
R2,100k,R_0603_1608Metric,143.51,-70.993,180,bottom
R3,100k,R_0603_1608Metric,127.508,-96.393,0,bottom
R4,100k,R_0603_1608Metric,128.27,-62.103,180,bottom
R5,100k,R_0603_1608Metric,143.51,-67.437,0,bottom
R6,100k,R_0603_1608Metric,127.508,-94.615,180,bottom
R7,10k,R_0603_1608Metric,128.27,-65.659,0,bottom
R8,10k,R_0603_1608Metric,143.51,-65.659,180,bottom
R9,10k,R_0603_1608Metric,127.508,-91.059,0,bottom
R10,24k,R_0603_1608Metric,143.51,-63.881,180,bottom
R11,24k,R_0603_1608Metric,128.27,-67.437,0,bottom
R12,24k,R_0603_1608Metric,127.508,-89.281,0,bottom
R13,10k,R_0603_1608Metric,128.27,-69.215,180,bottom
R14,10k,R_0603_1608Metric,143.51,-62.103,0,bottom
R15,10k,R_0603_1608Metric,127.508,-87.503,180,bottom
R16,1k 0.5W,R_1210_3225Metric,125.222,-142.875,-90,bottom
R17,1k 0.5W,R_1210_3225Metric,130.81,-142.875,-90,bottom
R18,100k,R_0603_1608Metric,143.256,-89.281,180,bottom
R19,100k,R_0603_1608Metric,143.256,-91.059,180,bottom
R20,100k,R_0603_1608Metric,143.256,-92.837,180,bottom
R21,24k,R_0603_1608Metric,143.256,-87.503,0,bottom
R22,24k,R_0603_1608Metric,143.256,-94.615,180,bottom
R23,100k,R_0603_1608Metric,143.256,-96.393,180,bottom
R24,1k 0.5W,R_1210_3225Metric,146.558,-142.875,-90,bottom
U1,TL074,TSSOP-14_4.4x5mm_P0.65mm,135.89,-65.659,90,bottom
U2,TL074,TSSOP-14_4.4x5mm_P0.65mm,135.89,-91.567,-90,bottom
