Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47pF","C_0603_1608Metric",76.454000,-76.581000,180.000000,bottom
"C2","47pF","C_0603_1608Metric",89.916000,-72.009000,180.000000,bottom
"C3","47pF","C_0603_1608Metric",76.454000,-67.691000,180.000000,bottom
"C8","1uF","C_0603_1608Metric",89.408000,-145.669000,-90.000000,bottom
"C9","1uF","C_0603_1608Metric",91.186000,-142.113000,180.000000,bottom
"C10","1uF","C_0603_1608Metric",97.028000,-142.621000,90.000000,bottom
"C11","100nF","C_0603_1608Metric",98.933000,-147.193000,-90.000000,bottom
"C12","1uF","C_0603_1608Metric",88.900000,-148.844000,180.000000,bottom
"C13","47pF","C_0603_1608Metric",90.043000,-86.614000,180.000000,bottom
"C14","47pF","C_0603_1608Metric",104.775000,-86.868000,90.000000,bottom
"C15","100nF","C_0603_1608Metric",101.219000,-102.235000,180.000000,bottom
"C16","100nF","C_0603_1608Metric",92.202000,-102.235000,180.000000,bottom
"C17","100nF","C_0603_1608Metric",80.772000,-77.724000,180.000000,bottom
"C18","100nF","C_0603_1608Metric",84.709000,-77.724000,180.000000,bottom
"C19","100nF","C_0603_1608Metric",91.694000,-83.693000,90.000000,bottom
"C20","100nF","C_0603_1608Metric",101.727000,-83.439000,-90.000000,bottom
"C21","10uF","CP_Elec_5x5.3",109.474000,-58.801000,90.000000,bottom
"C22","10uF","CP_Elec_5x5.3",84.074000,-59.055000,90.000000,bottom
"C23","10uF","CP_Elec_5x5.3",111.810800,-73.329800,-90.000000,bottom
"C24","100nF","C_0603_1608Metric",116.459000,-99.060000,0.000000,bottom
"C25","100nF","C_0603_1608Metric",105.918000,-94.869000,0.000000,bottom
"C26","100nF","C_0603_1608Metric",86.487000,-95.504000,0.000000,bottom
"C27","100nF","C_0603_1608Metric",77.216000,-98.933000,0.000000,bottom
"D1","1N4148","D_SOD-323",101.219000,-100.330000,180.000000,bottom
"D2","1N4148","D_SOD-323",109.474000,-112.141000,90.000000,bottom
"D3","1N4148","D_SOD-323",111.760000,-112.141000,90.000000,bottom
"D4","1N4148","D_SOD-323",107.188000,-112.141000,90.000000,bottom
"D8","1N4148","D_SOD-323",92.202000,-100.330000,180.000000,bottom
"D9","1N4148","D_SOD-323",84.074000,-112.141000,90.000000,bottom
"D10","1N4148","D_SOD-323",81.788000,-112.141000,90.000000,bottom
"D11","1N4148","D_SOD-323",86.360000,-112.141000,90.000000,bottom
"R1","100k","R_0603_1608Metric",76.454000,-73.025000,180.000000,bottom
"R2","100k","R_0603_1608Metric",89.916000,-70.231000,180.000000,bottom
"R3","100k","R_0603_1608Metric",76.454000,-71.247000,180.000000,bottom
"R4","68k","R_0603_1608Metric",76.454000,-74.803000,180.000000,bottom
"R5","68k","R_0603_1608Metric",89.916000,-73.787000,180.000000,bottom
"R6","68k","R_0603_1608Metric",76.454000,-69.469000,180.000000,bottom
"R7","10k","R_0603_1608Metric",84.201000,-134.747000,180.000000,bottom
