Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C2, C3",0603,5,47pF,C105622
"C10, C12, C8, C9",0603,4,1uF,C106858
"C11, C15, C16, C17, C18, C19, C20, C24, C25, C26, C27",0603,11,100nF,C14663
"C21, C22, C23",CP_Elec_5x5.3,3,10uF,
"C4, C5, C6, C7",C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4,1uF,C3780718
"D1, D10, D11, D2, D3, D4, D8, D9",D_SOD-323,8,1N4148,C60580
"D12, D5",LED_D3.0mm,2,GREEN,C5478529
"D13, D6",LED_D3.0mm,2,YELLOW,C5478533
"D14, D7",LED_D3.0mm,2,RED,C5872577
"J1, J2, J3",thonkiconn,3,thonkiconn,WQP518MA
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,eurorack_16,1,euro_power_16,3020-16-0100-00
"R1, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R3, R30, R34, R35, R36, R37, R38, R42, R46",0603,23,100k,C14675
"R10, R11, R12, R13, R14, R7, R8, R9",0603,8,10k,C98220
"R27, R39",0603,2,22k,C114065
"R28, R40",0603,2,27k,C114614
"R29, R41",0603,2,1k,C22548
"R31, R32, R33, R43, R44, R45",1210,6,1k 0.5W,C83144
"R4, R5, R6",0603,3,68k,C114633
"RV1, RV2, RV3",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,A100k,A100K
RV4,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,A10K,
"RV5, RV6, RV7",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,10k,RD901F-40-00D
"U1, U3, U4, U5",TSSOP-14_4.4x5mm_P0.65mm,4,TL074,C96507
U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX97220C,C7452036
