Comment,Designator,Footprint,JLCPCB Part Number
"20pF, C0G/NPO","C1, C2",603,C1648
"180pF, C0G/NPO","C3, C4, C5, C6, C31, C32, C38, C39",603,C107041
1nF,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16",603,C1588
100nF,"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C30, C33, C34, C35, C36, C37",603,C14663
MBR0530-TP,"D1, D2",SOD-123,C8598
10k,"R1, R2, R15, R16, R19, R20",603,C25804
100k,"R3, R4, R18, R23, R27, R30, R33, R36, R39, R42, R45, R49, R53, R59",603,C25803
220k,"R5, R6",603,C22961
270k,"R7, R8",603,C307293
33k,"R9, R10, R25, R28, R31, R34, R37, R40, R43, R46, R52, R57",603,C4216
1k,"R11, R12",603,C21190
1k,"R13, R14, R50, R56, R60, R61",1210,C516147
200k,"R17, R24, R26, R29, R32, R35, R38, R41, R44, R48, R54, R58",603,C25811
30k,"R21, R22",603,C22984
2k,R47,603,C22975
200R,"R51, R55",603,C8218
CD4052BPWR,U2,TSSOP-16,C6522
MCP6004,"U3, U6",TSSOP-14,C50282
TL074CPWR,"U4, U5, U9",TSSOP-14,C96507
DG412DQ-T1-E3,"U8, U10",TSSOP-16,C2651920
LM4040DBZ-10,U7,SOT23,
10uF,"C28, C29",5x5.4,C445046
