"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C27, C28","18","100n","",""
"2","C17, C18, C19, C20, C21, C22, C23, C24, C29, C30, C31, C32, C33","13","DNP","",""
"3","C25, C26","2","10u","",""
"4","C34, C35","2","100p","",""
"5","D1, D2","2","D_Schottky","",""
"6","J1","1","power","",""
"7","J2","1","VCA_1_IN","",""
"8","J3","1","VCA_2_IN","",""
"9","J4","1","VCA_3_IN","",""
"10","J5","1","VCA_4_IN","",""
"11","J6","1","VCA_1_CV","",""
"12","J7","1","VCA_2_CV","",""
"13","J8","1","VCA_3_CV","",""
"14","J9","1","VCA_4_CV","",""
"15","J10, J14","2","VCA_1_OUT","",""
"16","J11","1","VCA_2_OUT","",""
"17","J12","1","VCA_3_OUT","",""
"18","J13","1","VCA_4_OUT","",""
"19","Q1, Q5, Q8, Q11","4","MMBT3904","Package_TO_SOT_SMD:SOT-23",""
"20","Q2, Q3, Q4, Q6, Q7, Q9, Q10, Q12","8","MMBT3906","Package_TO_SOT_SMD:SOT-23",""
"21","R1, R2, R11, R14, R31, R32, R34, R37, R46, R49, R52, R61, R64, R67, R76, R79, R98, R99","18","20k","",""
"22","R3, R4, R5, R6, R12, R13, R16, R17","8","430R","",""
"23","R7, R8, R15, R18, R24, R25, R28, R35, R39, R41, R48, R50, R54, R56, R63, R65, R69, R71, R78, R80, R94, R95, R96, R97, R100, R101, RV5, RV6, RV7, RV8, RV9, RV10, RV11, RV12","34","10k","",""
"24","R9, R10, R19, R20","4","47k","",""
"25","R21, R23, R26, R38, R42, R45, R53, R57, R60, R68, R72, R75","12","200k","",""
"26","R22, R43, R58, R73","4","100k","",""
"27","R27, R44, R59, R74","4","3k","",""
"28","R29, R40, R55, R70","4","330","",""
"29","R30, R47, R62, R77","4","120k","",""
"30","R33, R36, R51, R66","4","6k2","",""
"31","R81, R82, R83, R84, R85, R86, R87, R88","8","0R","",""
"32","R89, R90, R91, R92, R93, RV1, RV2, RV3, RV4","9","100R","",""
"33","SW1, SW2, SW3, SW4","4","SW_SPDT","",""
"34","U1, U2","2","LM13700","",""
"35","U3, U4, U9","3","TL072","",""
"36","U5, U6, U7, U8","4","TL074","",""
"37","U10","1","LM4040DBZ-3","Package_TO_SOT_SMD:SOT-23",""
