Source:,C:\Users\samue\Documents\synth_projects\seed_common_platform\daisy_euro\daisy_euro.kicad_sch,,,,,,,
Date:,12/30/2023 12:17,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,136,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Comment,Footprint,DNP,LCSC Part Number,MFR PN,PCBA,Reference(s)
1,2,20pF,603,,C1648,CL10C200JB8NNNC,yes,"C1, C2"
2,8,180pF,603,,C107041,CC0603JRNPO9BN181,yes,"C3, C4, C5, C6, C31, C32, C38, C39"
3,10,1nF,603,,C1588,CL10B102KB8NNNC,yes,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
4,17,100nF,603,,C14663,CC0603KRX7R9BB104,yes,"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C30, C33, C34, C35, C36, C37"
5,2,10uF,,,,,yes,"C28, C29"
6,2,MBR0530-TP,SOD-123,,C8598,,yes,"D1, D2"
7,2,LED,,,,,no,"D3, D4"
8,10,thonkiconn,,,,,no,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10"
9,1,euro_power_10,,,,,no,J11
10,6,10k,603,,C25804,0603WAF1002T5E,yes,"R1, R2, R15, R16, R19, R20"
11,14,100k,603,,C25803,0603WAF1003T5E,yes,"R3, R4, R18, R23, R27, R30, R33, R36, R39, R42, R45, R49, R53, R59"
12,2,220k,603,,C22961,0603WAF2203T5E,yes,"R5, R6"
13,2,270k,603,,C307293,RK73B1JTTD274J,yes,"R7, R8"
14,12,33k,603,,C4216,0603WAF3302T5E,yes,"R9, R10, R25, R28, R31, R34, R37, R40, R43, R46, R52, R57"
15,2,1k,603,,C21190,0603WAF1001T5E,yes,"R11, R12"
16,6,1k,1210,,C516147,RK73H2ETTD1001F,yes,"R13, R14, R50, R56, R60, R61"
17,12,200k,603,,C25811,,yes,"R17, R24, R26, R29, R32, R35, R38, R41, R44, R48, R54, R58"
18,2,30k,603,,C22984,0603WAF3002T5E,yes,"R21, R22"
19,1,2k,603,,C22975,0603WAF2001T5E,yes,R47
20,2,200R,603,,C8218,0603WAF2000T5E,yes,"R51, R55"
21,8,10k,,,,,no,"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8"
22,1,SW_Push,,,,,no,SW1
23,2,SW_SPDT_MSM,,,,,no,"SW2, SW3"
24,1,daisy_seed,,,,,no,U1
25,1,CD4052BPWR,TSSOP-16,,C6522,CD4052BPWR,yes,U2
26,2,MCP6004,TSSOP-14,,C50282,MCP6004,yes,"U3, U6"
27,3,TL074CPWR,TSSOP-14,,C96507,TL074CPWR,yes,"U4, U5, U9"
28,1,LM4040DBZ-10,,,,LM4040DBZ-10,no,U7
29,2,DG412DQ-T1-E3,TSSOP-16,,C2651920,DG412DQ-T1-E3,yes,"U8, U10"
